9049;motortool-model-9049;850000
2428;podadora-model-2428;350000
9250;compresor-model-9250;200000
9045;compresor-model-9045;715000
5260;lijadora-model-5260;350000
8560;soldadora-model-8560;350000
1051;taladro-model-1051;240000
4288;taladro-model-4288;240000
8511;pulidora-model-8511;850000
5682;taladro-model-5682;550000
5937;taladro-model-5937;240000
5189;taladro-model-5189;715000
5906;aspiradora-model-5906;380000
5281;hidrolavadora-model-5281;475000
6256;soldadora-model-6256;240000
7066;pulidora-model-7066;750000
7486;hidrolavadora-model-7486;380000
7804;motosierra-model-7804;750000
1948;lijadora-model-1948;380000
6683;pulidora-model-6683;475000
